text,label
its just so confusing as to why black people get hate like this for no reason like its crazy. im from uk n it aint nearly as bad here as it is in the us,0
"What exactly are the beliefs that Dr. Dawkins wants to advocate? ""Atheism, we believe in nothing"". It's not exactly the height of philosophical thought.",0
"Omg this is fucking hilarious! 🤣 All of that drama, for $7!",1
That’s ring messed up...,0
ted bundy wasnt gay u moron! thats why matt damon was the smart one in good will hunting,1
It amazes me how outraged they get when called racist but ok with doing racist things.,0
I hate being white.,0
Yeah it came across my feed. Here's what I have to say....  Trump 2020 thanks libtards you done it again,0
"""Their ripping babies out of vaginas."" lol",0
It's not what she said you fucking idiots ...It's how she said it...,1
I mean shes 18 come on guys,0
so wait the pizza guys got screwed over because they didn't tip him? the customers don't have to tip anyone if they don't want to the employee did their job and they will be paid for it so I don't understand why if you don't tip you are instantly an asshole kinda stupid really.,1
Judges are criminals.,0
"Can people stop getting booty hurt, like seriously. It really doesn't matter who you support because in the end there will only be one clear loser: America. Personally I go for Clinton. Is she shaddy A'f? Oh absolutely but at least she actually has political experience. But no matter who wins we'll all look back and appreciate Obama a little bit more",1
This doesn't change the fact that I hate Hillary Clinton,0
No versions of the quran ? What about hafs quran ? What about the historie that tells us that in the times of the First Caliph under Abu bakr When Uthman Chooses to burn all the Qurans that he didnt like and kept one version ? How do you even know if its original..,0
"nah to hell with the judge in my opinion. Who does he think he is? This is why i hate humans, you can't give someone jail time for flipping you off. That's just you having a big ego. You penalize them for the crime they have committed, not for flipping you off. I would beat the shit out of the judge honestly.",1
I don't feel sorry for that lady at all lol she wouldn't even have cared if this got reported,0
Geee Ben what an moron you are,1
Shut up and stop cutting into the courts extortion time!,0
"In 21 century internet has a horrible power, it can make you a king, fuckin crazy !! !",1
"""too intelligent to be religious"" so if you believe that rocks can turn into humans, then you are smarter? If you dont believe in something that cannot be disproven, you are stupid?",1
White people these days...,0
We're proud to be a muslim..❤❤❤❤😙,0
There are so many hate comments  by some stupid pricks. Respect each other when you never seen God stop fighting with people for his looks.,1
I fell sorry for that guy I would sue her for a years rent,0
"Yeah, Donald Trump is so stupid, he will never be the next president of USA... oh wait.",1
"Ok walk into a anystore with a hoodie black, white, asian , doesnt matter theyre gonna look at u like wtf",1
"I'm not a fan of judges or cops, but let's be real, who the fuck flips off someone with the title of ""Judge"" ? She was ignorant as hell and should have controlled herself.  You're literally telling the man who controls your fucking fate ""fuck you "" ? That's pretty dumb. Theres a time and place for everything,  we all know this.",1
"it is a token.. Look I have me a nigga so I aint a racist..lol..  *note him saying it i never would *  sad we should be over this racism talk.. its the 21st century. You know he is lying. hes probably not happy to have them in his family just 'tollerates"" it..lol",1
"Its a story that is sad on one side but on a spiritual perspective the lady calling police on that beautiful girl paved a way for her to go to disney,sometimes blessings come in most unexpected ways,even ur enemy or someone with the wrong motive can still be used for ur Glory.I don't know much about racism coz am from kenya but discrimation happens here too.",0
I would’ve snapped on his ass 💯,1
"I believe in one God, The God of love and Mercy!  If you have God in your Heart ❤️, religion is not really important. ,what important is  YOU LOVE everyone and everything in this world that God gave Us! If EveryOne have a good and loving heart everything will be good and better!🙏❤️ ....(still proud being Roman Catholic 🙏❤️)  God bless everyone!🙏❤️😘",0
So hindus are basically stupid,1
"So... was the kid yelling? If the kid was a disturbance, yes, call a third party enforcer of laws, what we call police. What's wrong with that? And those folks cooking where they aren't supposed to?... Is any of that jiving?",0
Judges run their mouth because they can’t get shot ...,0
2 adios  2 different reactions,0
"i wanted to ask.. did only islam can answer the unseen creature like jinn,??",0
"I was profiled when I was 15 when I came out of Walmart it was raining I was 15. No umbrella, no jacket so I ran to the car it was me and a friend they jack us up. And when I told them I’m 15 they let us go and drove off. Like who the crap walks in the rain.",1
"So it cost 42$. They gave him 20, 20, 5 and 5 and wondered why he kept the change? Must be incredibly bad at math",0
She just need a very big dick.,1
Trump gets orgasm over people crying and in pain. He is a sick monster.,1
so did she got 30 days and 10.000? or was it the 30 days instead of the 10k?,0
I would like to see a situation where they pretend to work in a traditional African food store and they have cashiers that are African and dicrimate and refuse to sell something to a white person that comes into the store. I wonder how people would react in that situation.,0
"When someone presents you with new info that flies in the face of your world view, maybe listen and make sure there isn't something to it before you knee jerk. If they are wrong, they are wrong, but as progressive, this is what the trump supporters are crying about and they're right.",1
power tripping judge.,0
"She is cute, but stupid and arrogant. Respect a judge at all times; in no way shape or form did he abuse his power. ",1
Is approaches to eradicate religion I think it's funny if you just used to cry about not being accepted I'm facing oppression and as soon as the religious give them the freedom they want to launch a military realistic campaign against religion SMH citing religion is intolerance while The Atheist view intolerant speech they sound very liberal to me it's no wonder most psycho liberals today are atheist,1
"You can’t blame people like for her actions.  It’s wired into every single human beings brain.  Certain colors are intimidating to humans.  The color black for example is a dominant color and therefore people who are also “dominant” personality wise, are threatened by it and try to remove or live above the threat.  I have a black friend who said “idk why, but sometimes these niggas intimate me, and I’m black too” lol it’s biological.",1
trump supporters r gay,1
"Saturday night live sucks, Baldwin is a total piece of shit! Did everyone forget about Alex leaving messages on his 14 yr old daughters phone screaming and calling her a greedy little PIG!",1
"This disgusting terrorist cunt, rashida,  is pure evil.. She hates the president so much that she is wasting so much energy.... evil energy..",1
how can anyone listen to that racist cunt !,1
"You don't know about Hinduism or sanatan dharm don't make false video  
You are speak about Hinduism is totally false",0
Affirmative Action  &  Diversity quotas  can get you places!   let this be motivation for all those people with the victim mentality.  hard work and skills is a thing of the past!   the time is now!,0
"And knowing Kanye's crazy ass, if this backfired on him, he'd probably backtrack on this like: ""I'm not really a racist apologist. I was just pretending to be one to get y'all to talk about racial issues.""",1
It blows my mind that there are 3000 people out there who disliked this. Each of you are wart-touchers.,0
The judge is Racist that was unconstitutional the judge would have never done that to a white man,0
Alec Baldwin does an epic Trump 😂😂😂😂😂,0
What a moron!,1
"When Trump goes low, slap his little hands Ladies...",0
"This is typical of haughty, over the top, malicious behavior from people in coastal Massachusetts and Maine. Cold East Coast assholes.",1
"really trump is offended by being make fun of.. hello they were making fun of clinton too. they have always made fun of every president at one point in time. you are not special. you dont see president obama bitching , alot of americans hate him . but do you see him bat an eyelash? no. because hes a grown up",1
I use to smoke crack in a Perkins bathroom in Miami,1
😂😂😂these people are INSANE!!!,0
"""I own a parrot that doesn't drink"" LOL",0
"What the fuck did you expect? you dressed him like a fucking homeless, how the hell you expect people to look normaly at a human with 50$ jacket enter a 1k$ store?",1
"I do not believe a Muslim  guy. I also  do not believe other two guys. I think all of them pretend to be tolerant friends. Reality is much different.  In fact, this video is a marketing for the Islam supported by other two guys. It is my opinion.  Nothing good I see here.",0
"Who cares she is State Attorney, she too can be pulled over.",0
"I know they expect utmost respect, but the, ""Adios,"" really shouldn't have started this.",0
"Damn not being a bitch but i wouldve turned back and kicked that girl in her chest with all my strength, see her life slowly run out of breath.",1
Mohammed raped Aisha when she was 9 years old. Mohammed is a fucking pedophile piece of trash.,1
He can't fight waited fut dude to walk away before talking shit 🤣🤣🤣,1
"Hey if your job is to detain criminals why wouldn't you target blacks, your success rate would go up drastically",0
I proud to be Muslim from kashmir,0
Plz don't compare pak Islam with Hindu,0
"Taping someones mouth shut in a ""Court of Law"" is FUCKED UP. Yet he can still speak. Judge - 0.. Jumpsuit - 1",0
"Seriously, I wish I could have an opinion on Islam... I respect very much women like this one from the video, but it really doesn't convince me of the benevolence of Islam towards women...
Really, everyone can quote ine verse that say a peaceful thing and another verse that says the exact opposite...
Islamis a damn complicated thing !",0
What a family discussion may GOD bless you all,0
and this is why my boss doesn't allow us to bring in people who don't work there and R.I.P F&R for being closed I guess next time they want to bully a pizza guy think of what might happen next time you have a job ( oh no too soon fuckers?),1
It's a beautiful day in the neighborhood it's a beautiful day in the neighborhood won't you be my neighbor that's all I have to say that lady looks stupid,1
Trump supporters are suck whiny little babies 😂😂😂 106k likes BITCH,1
Her parents must be so proud. Although they're obviously the ones who didn't teach her any respect or manners.,0
"Yeah, let's do an unbiased random sample in front of a church. I wonder if it would come out different in front of a museum of natural history.",0
I come back to this video every now and then. It fucking amazes me how nearly everyone on the internet did a cyber wall of protection for this innocent man and unleashed so much shit on these awful people.,1
What a disrespectful idiot. Hope he’s serving decades; one less fucking idiot off the street.,1
When it is so easy to joke about your presidential candidates and you think the rest for the world leaders don't see that they are pitiful human beings. if I said bullet to the head or knife through your heart it's a lesser of 2 evils. America is fucked if they do fucked if they don't.,1
f&r auto sales doesnt run well anymore. but the nasty bitch in the video works for me as a slut and the fat guy yelling died of a heart attack.,1
Any muslim can explain me what sharia is?,0
The important question here is can I smash 👀👀👀,0
"""no shoes, no shirt, no service"" - haha you subpar stooges, we set the bar at wealth, square footage, success, and education. Your pols put their kids in our schools while your schools without God or guns have ALL mass murder. Ignorant loser liberals aborting certain victory always OWNED!",1
"Dr.naik: ""all of this translation are 100% wrong he is kafir and the enemy og the muslims""",0
"Okay sorry if this is an American thing and I just don't know, but what the hell was wrong with the pizza they showed? It looks like bloody cheese on bread and nothing else. Wtf am I looking at?!",1
Look who’s talking shit a white person🤦🏽‍♀️,1
"Quran is a Holy book told by ALLAH to HIS PROPHET MUHAMMAD . Then HE AND HIS COMPANIONS WROTE it. TAKE any copy of Quran from anywhere 
It is word by word same. 


Science is totally made by Humans based on theories and 
Some thing made by human is not 100% correct. Science is just human understandings. It's not final verdict.",0
That hair color = straight up trash,0
"Hahahaha.. wankers.  And the woman is a delight.  Single without a doubt, and baldy behind the desk?  What a hair cut, as for fatty who wanted him fired, well.. now you don’t have a car lot you can have his job.  He’s rich as fuck now!!  Hahahahahahahaha areholes.",1
"Militant Atheism,hmm. So let's use force to push our narrative of reality. Mr. Dawkins you are hereby part of the Islamic faith! Welcome!",0
"Alhamdullilah, Am a proud Muslim from Indian Occupied Kashmir. ❤",0
She's hot,0
This is why you try not to ever have to be in front of a judge. Dont put yourself in positions of needing someone to be decent to you..it wont happen and that's the lesson.,0
"May Allah guide all of them and all of us. We, the commoners, need more people like them to guide us.",0
I’d shove a stick up that girls ass,1
Dawk. The whole point of atheism is to HAVE NO BELIEF.  Richard Dawkins is coming unstuck and he does not like it.   What incursion into politics and education? FOOL DAWKINS - the only incursion into politics and education is Gender Dysphoria.,0
That white girl crying is on POINT 👏🏽👏🏽👏🏽👏🏽👏🏽,0
"Savage
but job half-done. He can still speak.
Next time, use one of those BDSM ball-gags",0
Race baiting at its finest. If you are bored of this stupid shit. Shit on these loser democrats.,1
ROTFLMAO!!. They taped his big fat ghetto mouth shut:),0
"Good I saw this Video! I was Interesses in buying a Car At this Place! Im goin somewhere Else now! So Discraceful and mean!

""I want that Guys Job""

You fat stupid aushole!!",1
Hay that thumbnail is wrong. Hindus got 30koti gods. That means 30 types of god. Now days koti word is used for a billion. That is why this misunderstanding is created,0
"I just would have kept my mouth shut and the next time I delivered u a pizza,it would have the ""special sauce"" on it.",0
"Can anybody explain to me what's wrong with pulling her over? They didn't know she was a state attorney before pulling her over right? Even if they did know, what's wrong with that? Just curious",0
"fat woman at 0:42 is the classic muslim. Uneducated slob that sets back humanity by 50 years.
Also it's 3 years later now, wonder how Egypt is doing.",0
"Looks like a bullshity propaganda video IMO. Not saying it doesn't happen, but this vid is sketchy. Show us the full vid, not just this bs cuts.",0
"""mr. trump, it has become very clear that you're probably going to lose""...nice prediction!!!",0
"We can all agree, we're fucked",1
A very clear explanation of the false miracles of the qur'an. Now point out the foolishness of the qur'an to the muslims. First problem get them to listen and take in what you say and the second problem is to get them to be honest and admit you are correct therefore islam is wrong.,0
If this is America free country you can say fuck you if you want but it's not respectful,1
Drown that cow in the pool problem solved.,0
Good less niggas the better,1
"Being a Christian, i support hinduism......hindus are one of peaceful people on earth, i stay with them so i know them.... 

Love from india....",0
Racist GOP fuck pretends he's not racist. Bastard needs to get cancer and die.,1
The pizza man was in the wrong,0
wtf that doesnt look like a pizza XD,1
"But science doesn't explain ""why"" we exist, science is a method to understanding ""how"".  Religion is one avenue to explaining the ""why"".",0
can someone help me. im looking for the skit with trump and clinton and they keep asking about her emails im not finding it some help would eb greatly appreciated.,0
"""Hey, out the door, before i put my foot in your ass.."" Said the skinny woman that the pizza guy would beat the shit out off... But she's brave... Just because her group is with her, Where she think she is at? Highschool? that guy could just be waiting for her outside, so he could ""put his foot in her ass"" lol",1
"Awww poor whiny RACE BAITING Angela Rye Bread can't get the smart lady to agree with her stupid OPINION that our Great President Trump is a racist ! Booo Hooo Hooo. He's not a racist Angela, suck it up buttercup. TRUMP 2020!",1
"what in the nasty fuck! im more offended that someone would consume that cheeseless looking pizza. seems its for a vegan, a bareback pizza",1
Hindus caste system and cow and rat worshipers 😂,0
religious homosexuals seem to be the perfect defintion of a masochist.,1
This is the funniest shit in the world.,1
That's my baby girl ryee theree ♥️♥️♥️,0
I love Cecily Strong,0
Some people just have no self-awareness. Her IQ is probably her age.,0
"where the hell do you call that pizza? I wouldn't even pay for it... let alone tip for that excuse for pizza. dough and marinara,...  I just puked in my mouth.",1
I'm getting fucking triggered right now,1
"Btw Clintons rape victims are not his mistresses... The 12 year old girl who was raped and beaten into a coma and left incapable of having children, where Hillary attacked her as a child claiming that she was seeking out older men and had mental issues and thus was not raped... ya thats not bill clintons mistress.  thanks snl .. you suck now",1
"moses, allah, jesus, vishnu, and all the other cats, i mean gods should get together and form the Bullshit Avengers",0
The singing stuff just isn't as funny as the talking stuff of the first half. The Trump indigestion thing and Ben Carson are riotous.,0
"Let's explain something to people who believe the govt is God , because they sure are trying to be. He might be a judge, but it does not mean he has the right to do anything but uphold the law. This guy is probably committing crimes himself and is just better at not getting caught.",0
"Alaa Murabit
Mash-allah
You do your name righteous... You uplifted us.!♥️♥️♥️♥️",0
Lmao 😂 at the Saturday night live crew 😂,0
So in other words you will put up with any behavior as long as trump gets you a few things. You will even support a man who thinks you are genetically inferior and most of his base wants you eliminated. Your priorities are fucked.,1
Bruh when trump started walking behind her 😂😂💀💀,0
Daaaaamn no fucks given,1
FAKE NEWS !!!    This was all staged to gain sympathy for the little girl and it worked.  How did the mother know to film the lady calling 911 and why wouldn't the woman have called from her apartment instead of hiding behind a wall.  Now there will be a GO Fund Me page set up for the little girl and her family.  FAKE NEWS !!!,0
At 1:21. Seriously though abortion should be illegal in the US. It's murder.,1
tape did nothing lol,0
"There is a lot of misinformation and lies in this video. Read the quran then judge Quran in English and Arabic with Audio
https://www.quranful.com",0
So does snl do any jokes on these college campus babies?,0
"although its a bit unfair to do it because of that, it wasnt because of emotion, it was because of respect and I understand that. She thought it was a game. He showed her it wasnt a game.",0
"You can be perfectly Christian without believing in God. The reason being, compassion for others, etc... is in our genes. It takes a huge propaganda machine (the Church, the media, PR agencies) to convince us that there are enemies all around.",0
I was at the grocery store and I am only 12 and a old lady could not pay for her. Grocery’s  and there was $10 left so I paid $20 then I let  her get the $10  that was left over !?!,0
Affleck isn't having any of their shit,1
Racism is so stupid..for all you racists out here. I could be a homeless man and put on a suit and get more service than a black man. That's how stupid racists are.,1
Judge is a moron,1
"CORRUPTION. raises bail because shes not in a bad mood, he just had 2 try n break her down. fuck that judge",1
"Really? He doubled her bail just for saying ""adios""? I would've flipped him off too.
Like, really? It's okay for judges to be complete assholes, but a simple ""adios"" is incriminating now?",1
"What a dumb bitch, keep her in jail please for just being stupid.",1
"Arpaio is an embarrassment.  Ditto if those 2 guys really are holocaust deniers.  1 is labeled anti-semitic.  That describes most Democrats, most college professors and college students.  Probably best not to discuss that.  Anti-diversity?  In what way?  Most so called diversity programs are enforced bigotry.",0
A woman who is spanish said bye in spanish 😕 wow fuck that judge,1
I am a liberal and I say fuck Christianity and fuck Islam Islam isn’t a race it’s not racist to hate it,1
Is this legal for the judge to do that?,0
"She said ""IM THE STATE ATTORNEY"" , the cop thinking to himself "" well im going back to night shifts for the rest of the year"" DOOOOOOH",0
i bet she raping the shit out of commons pockets,1
Best skit they've put out in years even if it it's biased as fuck.,1
"If I was Jared here, I would be super polite to the customers, apologize, and tell them their next pizza is half off. 



And I would take the longest, stinkiest, yellowest piss all over their pizza right before I put it in my car and bring it to the fuckers.",1
"saying adios isnt worth $5000, he said bye-bye fuck me should we charge the judge with a fine for being sassy.",1
stupid snl making fun of trump for thinking the election will be rigged,1
They are just too stupid to realize that heating entire race of people is the definition of racism.,1
so stupid,1
A classic example of people abusing their authority.,0
"Funny that she looks shocked when the bail went up from 5000 to 10000, but so calm when she got 30 days in jail.  Girl sure loves her money.  LOL",0
Are they retarded? I mean it was 42 dollars. If they were not going to give tip why not just give 45. Ads holes.,1
"I mean seriously, it's disgusting. When you call for a pizza to be delivered, have some fucking courtesy and tip your delivery man. This offends me so much. I'm glad the internet has destroyed these shitty gutless people.",1
only dumb asses  support evil judges,1
"Just take that school kid outside, and hang a dirty lickin' on him",1
U know u deserve it right?,0
"assalamualaikum ( peace be upon you )There is no god but one god, I believe in god of Adam, Noah, Moses , Jesus and Muhammed peace be upon them and also love all my brothers and sisters in any religion. Keep up your good deeds. God is one. One unseen Lord.GOD IS GREAT, ALLAHUAKBAR",0
The whole world going see you boo 💁🏻‍♀️,0
In 1996 Bill Clinton said the word nigga while listening to a Tupac song. Are you a racist Hillary. Literally debates now a days,1
Its like Reagan said.. vote with your feet .. If you dont like the laws in FL .. move to TN.. NJ.. GA...  running tags in FL is the law. And speeeing can automatically get you ripped out of the car and thrown in jail in NC .. you know how much time id spend innjail if i lived in NC 😂😂😂,0
I knew . for views you are creating cross words between Hindu and Muslims. Wake up bro just wash you dirty shit pot head.,1
rotfl    Who the hell choreographs these pathetic little Clinton advertisement skits?!,1
"I love it. Holding young people to a higher standard of behavior - what society considers *normal civility* - is not harsh. It is helping them live up to their full potential as active and productive members of society.

(I wish someone would have taught this to DT when he was young!)",0
Why must everyone make things about race?,0
Oh my fucking goodness! They broke my 🎤 and they took it to Kenya 🇰🇪 😅😅😅😅😂😂 I'm dying😂😂😂😅😂 and one more thing it's called Gina😂😂😅😂😅😂 I'm done!,1
When a black reporter said the last Eclipse was racist because it didn't pass over enough black people that was it for me! 😵👈 Shut the hell up!!!,1
You can't wth! She is Hispanic! Adios means goodbye. You can't do that. It's not fair!,0
Can't people just follow the rules?,0
"That face when she got 10,000",0
Bhad baby back then been like,0
Dumb kids really think this is a race thing lmao let the media control you,1
Oh now you don’t see color?,0
"Poison faith , trump kick them all out , all Muslims people like this lady first thing she's brain washed ,",0
Huh! I laugh so hard he stuttered his own words,0
good shit,1
When you realize that 666 people helped fund his gofundme page...,0
This generation kids don’t know how to respect elder/older people. She definitely repented for her mistakes. Great job by the Judge!!,0
"Nothing lazier or more dishonest than taking all the tough questions, filling in the answers with the word god and then pretending you have it all figured out. Religion is for mentally lazy and dishonest folks.",0
"Trump better win this one, I'm not fond of him.. But he's better than the lying sack of shit Hilary.",1
I love Islam hame islampar grab hai Amin,0
What a complete joke artist.,0
"Ben is a moron. According to Pew research there are 900m Muslims that are for Sharia Law.  Thats a majority.  Also, Ben Islam is a religion not a race. Cant be racist against a religion. Stick to acting, youre dumb.",1
white privlage?,0
"Whether or not I was black, I would've beat that salesman's ass with words that would've made him think twice before approaching me like that",1
"Everyone: *breathes*
Permit patty: Wait thats illegal",0
I thought this was gonna be a bad lip reading video... This is actually what happened.,0
Each one trying to be a smarter ass than other..... Cost them big,1
fuck trump,1
"How much money you are getting bastard, son of bitch",1
